year,Company,CO2
1912,Anglo American,0.9892457521627396
1913,Anglo American,1.0567472075032591
1914,Anglo American,1.1242486628437784
1915,Anglo American,1.1917501181842978
1916,Anglo American,1.259251573524817
1917,Anglo American,1.3267530288653369
1918,Anglo American,1.3942544842058562
1919,Anglo American,1.4617559395463755
1920,Anglo American,1.529257394886895
1921,Anglo American,2.218708874328552
1922,Anglo American,2.9081603537702088
1923,Anglo American,3.5976118332118667
1924,Anglo American,4.287063312653524
1925,Anglo American,4.97651479209518
1926,Anglo American,5.665966271536838
1927,Anglo American,6.3554177509784955
1928,Anglo American,7.044869230420153
1929,Anglo American,7.060673316529329
1930,Anglo American,7.105237522157723
1931,Anglo American,7.741070736924453
1932,Anglo American,8.376903951691183
1933,Anglo American,9.01273716645791
1934,Anglo American,9.64857038122464
1935,Anglo American,10.28440359599137
1936,Anglo American,10.9202368107581
1937,Anglo American,11.556070025524829
1938,Anglo American,12.191903240291555
1939,Anglo American,12.827736455058288
1940,Anglo American,13.463569669825016
1941,Anglo American,14.920213568024984
1942,Anglo American,16.37685746622495
1943,Anglo American,17.833501364424915
1944,Anglo American,19.290145262624883
1945,Anglo American,20.746789160824846
1946,Anglo American,22.203433059024817
1947,Anglo American,23.66007695722478
1948,Anglo American,25.116720855424752
1949,Anglo American,26.57336475362472
1950,Anglo American,26.03027759309401
1951,Anglo American,25.561756338088905
1952,Anglo American,27.226335331750043
1953,Anglo American,28.89091432541118
1954,Anglo American,28.325727508037847
1955,Anglo American,29.21093285255278
1956,Anglo American,30.09613819706772
1957,Anglo American,30.27699902117559
1958,Anglo American,32.78997429222932
1959,Anglo American,32.459469860578544
1960,Anglo American,34.096211627005246
1961,Anglo American,34.55386194541832
1962,Anglo American,34.720250302066695
1963,Anglo American,34.52921989211466
1964,Anglo American,35.912032407531726
1965,Anglo American,44.43862593367293
1966,Anglo American,42.44593681555942
1967,Anglo American,40.4532476974459
1968,Anglo American,34.526951164610985
1969,Anglo American,28.600654631776056
1970,Anglo American,31.0807446088104
1971,Anglo American,34.02037393089208
1972,Anglo American,36.96000325297376
1973,Anglo American,39.89963257505544
1974,Anglo American,42.83926189713711
1974,Anglo American,1.6899630834270596
1975,Anglo American,46.182525090547536
1975,Anglo American,2.5495107149829983
1976,Anglo American,52.88705913170568
1976,Anglo American,2.6444424614101054
1977,Anglo American,57.74533471765092
1977,Anglo American,7.255158720691671
1978,Anglo American,71.8799217155039
1978,Anglo American,8.171250073713253
1979,Anglo American,73.57548453705208
1979,Anglo American,8.101831234138432
1980,Anglo American,75.68427563707709
1980,Anglo American,11.893167857071028
1981,Anglo American,75.58475965258152
1981,Anglo American,11.56980659580369
1982,Anglo American,73.68921709076129
1982,Anglo American,8.603189519956592
1983,Anglo American,75.82170247280905
1983,Anglo American,6.52655756686362
1984,Anglo American,77.00641657394671
1984,Anglo American,12.163130010973113
1985,Anglo American,76.76947375371917
1985,Anglo American,12.163130010973113
1986,Anglo American,86.01024374259276
1986,Anglo American,13.64643854889666
1987,Anglo American,92.40769988873603
1987,Anglo American,10.383159765464852
1988,Anglo American,95.46426226967117
1988,Anglo American,15.456074965163394
1989,Anglo American,90.18043737859728
1989,Anglo American,15.0407485745448
1990,Anglo American,91.83903712018996
1990,Anglo American,13.943100256481372
1991,Anglo American,89.37483178982366
1991,Anglo American,13.735437061172076
1992,Anglo American,88.23750625273155
1992,Anglo American,12.93445045069336
1993,Anglo American,97.78630190790093
1993,Anglo American,12.459791718557824
1994,Anglo American,97.0517791651956
1994,Anglo American,14.061764939515257
1995,Anglo American,99.6581501876984
1995,Anglo American,12.281794694006996
1996,Anglo American,104.75242082259024
1996,Anglo American,12.192796181731584
1997,Anglo American,115.32007060473802
1997,Anglo American,11.56980659580369
1998,Anglo American,141.6918064960619
1998,Anglo American,13.367576543767036
1999,Anglo American,146.43066290061248
1999,Anglo American,13.1587267016274
2000,Anglo American,153.53894750743834
2000,Anglo American,24.4858640206268
2001,Anglo American,155.12883383116508
2001,Anglo American,35.8130013396262
2002,Anglo American,160.19230189942735
2002,Anglo American,37.28444340924636
2003,Anglo American,179.04584210493175
2003,Anglo American,32.442924341463886
2004,Anglo American,187.8601150173958
2004,Anglo American,30.698553500865795
2005,Anglo American,188.369542080885
2005,Anglo American,34.11609637224166
2006,Anglo American,191.92368438429793
2006,Anglo American,32.632787834318115
2007,Anglo American,191.92368438429793
2007,Anglo American,35.599404910165205
2008,Anglo American,196.66254078884847
2008,Anglo American,47.46587321355361
2009,Anglo American,197.79062555595175
2009,Anglo American,41.57713831799712
2010,Anglo American,196.60899171147707
2010,Anglo American,47.66166994055952
2011,Anglo American,191.59788800648508
2011,Anglo American,42.0954063211476
2012,Anglo American,193.464997429878
2012,Anglo American,52.40321401288593
2013,Anglo American,189.78029963251967
2013,Anglo American,55.344021520173165
2014,Anglo American,187.92408957885723
2014,Anglo American,62.01920660253673
2015,Anglo American,174.5678597454517
2015,Anglo American,62.91660826798048
2016,Anglo American,120.13000985535685
2016,Anglo American,62.002296885204395
2017,Anglo American,69.18730350643825
2017,Anglo American,58.442356394187875
2018,Anglo American,67.76564658507309
2018,Anglo American,64.6722522534668
2019,Anglo American,89.5643860460057
2019,Anglo American,67.9355310368986
2020,Anglo American,87.19495784373038
2020,Anglo American,49.839166874231296
2021,Anglo American,54.25990583210398
2021,Anglo American,44.2025944301218
2022,Anglo American,3.791085123640453
2022,Anglo American,44.49925613770651
2012,Antero,0.0358900107187547
2012,Antero,6.3414639614804065
2013,Antero,0.9367292797594988
2013,Antero,12.901599094046343
2014,Antero,3.3549184464098176
2014,Antero,23.10625374470447
2015,Antero,7.033644545082178
2015,Antero,31.998881368849407
2016,Antero,11.384311399989004
2016,Antero,36.8096471327311
2017,Antero,15.351752695998899
2017,Antero,43.07822070384967
2018,Antero,18.50289563710556
2018,Antero,51.75217715690907
2019,Antero,23.503171686021847
2019,Antero,59.91590087743556
2020,Antero,28.896243963360064
2020,Antero,63.77909156661328
2021,Antero,24.436710742606348
2021,Antero,60.207462438882935
2022,Antero,24.706284600893884
2022,Antero,58.16653150875132
1985,APA Corporation,0.7931692368844797
1985,APA Corporation,2.8172135874852606
1986,APA Corporation,0.7931692368844797
1986,APA Corporation,2.8172135874852606
1987,APA Corporation,0.8007460169251056
1987,APA Corporation,2.9804880618957914
1988,APA Corporation,0.8980478237626184
1988,APA Corporation,3.862461785274101
1989,APA Corporation,1.2258432549939118
1989,APA Corporation,6.192038661238628
1990,APA Corporation,1.3450778461595525
1990,APA Corporation,6.891786408712327
1991,APA Corporation,3.3473416663691915
1991,APA Corporation,7.624334831848856
1992,APA Corporation,5.020613721656912
1992,APA Corporation,6.996019666929763
1993,APA Corporation,5.495159418938225
1993,APA Corporation,9.592375371618639
1994,APA Corporation,5.814181736438266
1994,APA Corporation,12.857864859829236
1995,APA Corporation,7.612670051344756
1995,APA Corporation,15.350716210204292
1996,APA Corporation,8.047337958938561
1996,APA Corporation,14.964397141286524
1997,APA Corporation,10.021288548470071
1997,APA Corporation,16.19624473840168
1998,APA Corporation,7.556841145782246
1998,APA Corporation,4.669358406579711
1999,APA Corporation,13.821641905689322
1999,APA Corporation,17.457248491661577
2000,APA Corporation,17.773530863721092
2000,APA Corporation,22.108748752602637
2001,APA Corporation,22.742303458784253
2001,APA Corporation,29.983826527296237
2002,APA Corporation,23.495993683878098
2002,APA Corporation,28.743596535289463
2003,APA Corporation,31.294095457269748
2003,APA Corporation,32.378275850682805
2004,APA Corporation,35.22405163097339
2004,APA Corporation,32.85716571536012
2005,APA Corporation,35.515159495692195
2005,APA Corporation,33.628710497340236
2006,APA Corporation,34.35072803681703
2006,APA Corporation,42.27533305401395
2007,APA Corporation,38.13513027816128
2007,APA Corporation,47.782566497803046
2008,APA Corporation,38.57179207523946
2008,APA Corporation,43.04687783599407
2009,APA Corporation,42.21064038422431
2009,APA Corporation,46.79818177596635
2010,APA Corporation,49.92499879927221
2010,APA Corporation,50.25683079863583
2011,APA Corporation,54.000508905335245
2011,APA Corporation,60.180492994449054
2012,APA Corporation,56.02829451094489
2012,APA Corporation,61.00524776139331
2013,APA Corporation,58.18169515407017
2013,APA Corporation,55.790669234907014
2014,APA Corporation,56.38719461813245
2014,APA Corporation,41.35071845227396
2015,APA Corporation,35.95182129277036
2015,APA Corporation,30.570229717757268
2016,APA Corporation,49.191115872316146
2016,APA Corporation,29.333281251124593
2017,APA Corporation,43.33562672743008
2017,APA Corporation,25.475876601133795
2018,APA Corporation,44.389873859509166
2018,APA Corporation,25.687944996208397
2019,APA Corporation,45.189401609959326
2019,APA Corporation,26.078054000973033
2020,APA Corporation,42.333633457068
2020,APA Corporation,23.76810213370953
2021,APA Corporation,36.35660677866184
2021,APA Corporation,22.07360355753382
2022,APA Corporation,35.65998565838978
2022,APA Corporation,22.634915688920593
1973,Arch Resources,26.9521780963824
1974,Arch Resources,29.832352100128706
1975,Arch Resources,28.949384884568477
1976,Arch Resources,29.233623839061902
1977,Arch Resources,27.084092674425
1978,Arch Resources,27.762291252179587
1979,Arch Resources,27.084092674425
1980,Arch Resources,34.00128396222656
1980,Arch Resources,20.315460505289487
1981,Arch Resources,27.309793446711872
1981,Arch Resources,29.005077729804256
1982,Arch Resources,27.47960640871819
1982,Arch Resources,35.24020779562388
1983,Arch Resources,27.649419370724512
1983,Arch Resources,34.436088495125986
1984,Arch Resources,27.819232332730827
1984,Arch Resources,48.24715802987332
1985,Arch Resources,27.989045294737146
1985,Arch Resources,54.529912473398966
1986,Arch Resources,28.158858256743457
1986,Arch Resources,49.730840566099495
1987,Arch Resources,40.25641965131996
1987,Arch Resources,47.880816662903904
1988,Arch Resources,39.76632654578274
1988,Arch Resources,59.43339167028473
1989,Arch Resources,40.62613901163749
1989,Arch Resources,72.25533951421463
1990,Arch Resources,50.299029252503566
1990,Arch Resources,70.0737766739117
1991,Arch Resources,39.98127966224643
1991,Arch Resources,76.12390434941173
1992,Arch Resources,43.2055764092018
1992,Arch Resources,72.88727837223688
1993,Arch Resources,32.24296746955358
1993,Arch Resources,87.45484282977607
1994,Arch Resources,49.245758981831486
1994,Arch Resources,70.4236326793675
1995,Arch Resources,52.16912136573769
1995,Arch Resources,83.75296331655002
1996,Arch Resources,43.313052967433634
1996,Arch Resources,93.44086076605647
1997,Arch Resources,3.815586551127869
1997,Arch Resources,124.20591186278796
1997,Arch Resources,7.729630982551373
1998,Arch Resources,50.19237518657751
1998,Arch Resources,133.75137196054942
1998,Arch Resources,26.346567285030208
1999,Arch Resources,66.96793737131253
1999,Arch Resources,163.6896432536024
1999,Arch Resources,32.243857668115375
2000,Arch Resources,86.93561829651469
2000,Arch Resources,163.67459133090654
2000,Arch Resources,32.240892719643256
2001,Arch Resources,109.56082362238418
2001,Arch Resources,175.294674516466
2001,Arch Resources,34.529835981283476
2002,Arch Resources,106.94100123956008
2002,Arch Resources,166.70002749970485
2002,Arch Resources,32.836848143014976
2003,Arch Resources,104.92983844832509
2003,Arch Resources,162.15434730347647
2003,Arch Resources,31.941432520264858
2004,Arch Resources,18.01682794686245
2004,Arch Resources,185.2891502523584
2004,Arch Resources,36.49856440424047
2005,Arch Resources,20.519571714714296
2005,Arch Resources,211.02793549791988
2005,Arch Resources,41.568633046716634
2006,Arch Resources,19.758503433463954
2006,Arch Resources,203.20093642874616
2006,Arch Resources,40.02685779582987
2007,Arch Resources,19.758503433463954
2007,Arch Resources,203.20093642874616
2007,Arch Resources,40.02685779582987
2008,Arch Resources,20.43175614421416
2008,Arch Resources,210.1248201361672
2008,Arch Resources,41.390735923085835
2009,Arch Resources,18.458247548053073
2009,Arch Resources,189.82880960990352
2009,Arch Resources,37.39279405298433
2010,Arch Resources,23.8218762631474
2010,Arch Resources,244.98958536307137
2010,Arch Resources,48.25845523560887
2011,Arch Resources,14.943540656555763
2011,Arch Resources,215.85932365939448
2011,Arch Resources,56.17814102731004
2012,Arch Resources,18.958864872097504
